AIRLINE,ORIGIN,DESTINAT,RDEPDATE,DEPTIME,RARRDATE,ARRTIME,CLASS
VY,ORY,ALC,07/07/2015,9:35,07/07/2015,11:35,Y
VY,ORY,ALC,07/07/2015,9:35,07/07/2015,11:35,Y
VY,ORY,ALC,07/07/2015,9:35,07/07/2015,11:35,Y
VY,ORY,ALC,07/07/2015,9:35,07/07/2015,11:35,Y
BA,LHR,MAD,03/16/2016,7:25,03/16/2016,10:50,M
LO,CDG,WAW,05/11/2016,10:40,05/11/2016,12:55,T
LH,TLS,MUC,05/10/2016,8:55,05/10/2016,10:40,V
LH,TLS,MUC,05/10/2016,8:55,05/10/2016,10:40,V
LH,TLS,MUC,05/10/2016,8:55,05/10/2016,10:40,V
AF,CDG,GVA,03/29/2016,20:45,03/29/2016,21:55,T
AF,AMS,CDG,03/31/2016,10:40,03/31/2016,11:55,H
AF,CDG,GVA,03/29/2016,20:45,03/29/2016,21:55,L
AF,ORY,TLN,03/07/2016,10:40,03/07/2016,12:00,U
AF,BOD,ORY,03/04/2016,7:30,03/04/2016,8:40,B
U2,CDG,MXP,03/16/2016,6:50,03/16/2016,8:20,Y
AF,LCY,AMS,03/09/2016,16:05,03/09/2016,18:20,T
AF,CDG,TXL,04/27/2016,10:10,04/27/2016,11:50,X
AF,NCE,CDG,03/15/2016,16:05,03/15/2016,17:40,H
AF,CUN,ATL,03/03/2016,12:06,03/03/2016,14:41,Q
AF,TLS,ORY,03/23/2016,6:40,03/23/2016,8:00,W
U2,LGW,LYS,03/01/2016,19:50,03/01/2016,22:25,Y
AF,BOD,LYS,02/25/2016,6:50,02/25/2016,7:55,Y
IB,LYS,MAD,03/13/2016,18:25,03/13/2016,20:15,Q
AF,ORY,BIQ,03/17/2016,7:05,03/17/2016,8:25,U
AF,ORY,MPL,03/21/2016,7:00,03/21/2016,8:15,Y
KL,NTE,AMS,03/17/2016,6:50,03/17/2016,8:30,L
AA,IND,DFW,03/12/2016,11:30,03/12/2016,12:57,V
AF,CFE,CDG,03/06/2016,11:20,03/06/2016,12:25,L
